Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
Но какая гувернантка!	Y lo peor del caso es que... ¡Todo eso parece hecho adrede!	What am I to do?'	A questo non aveva riflettuto mai con chiarezza;	Er war sogar der Ansicht, eine schon so welke, gealterte, bereits unschöne Frau, die nichts Besonderes an sich habe, sondern lediglich eine einfache, brave Familienmutter sei, müsse aus einer Art von Gerechtigkeitsgefühl heraus sich nachsichtig zeigen.
(Он живо вспомнил черные плутовские глаза m-lle Roland и ее улыбку.)	¡Ay, ay!	He could find no answer, except life's usual answer to the most complex and insoluble questions.	tuttavia, vagamente, si figurava che sua moglie, da tempo, indovinasse che egli non le era fedele e chiudesse un occhio.	Und nun hatte er gerade das Gegenteil davon erlebt.
Но ведь пока она была у нас в доме, я не позволял себе ничего.	¿Qué haré?	That answer is: live in the needs of the day, that is, find forgetfulness.	Gli sembrava inoltre che lei, donna esaurita, invecchiata, non più bella e per nulla affatto interessante, semplice, buona madre di famiglia soltanto, dovesse, per un senso di giustizia, essere indulgente.	›Schauderhaft!
И хуже всего то, что она уже...	¿Qué haré?»	He could no longer find forgetfulness in sleep, at any rate not before night, could not go back to the music and the songs of the little decanter-women, consequently he must seek forgetfulness in the dream of life.	Era avvenuto il contrario.	O weh, o weh, schauderhaft!‹ sagte Stepan Arkadjewitsch einmal über das andere vor sich hin, ohne daß er einen Ausweg ersinnen konnte.
Надо же это все как нарочно!	Tal pregunta no tenía otra respuesta que la que la vida da a todas las preguntas irresolubles: vivir al día y procurar olvidar.	Oblonsky did not answer, but glanced at Matthew's face in the looking-glass.	“Ah, è terribile!	›Und wie nett war alles bisher, wie gut haben wir miteinander gelebt!
Ай, ай, ай!	Pero hasta la noche siguiente Esteban Arkadievich no podría refugiarse en el sueño, en las alegres visiones de los frascos convertidos en mujeres.	From their looks, as they met in the glass, it was evident that they understood one another.	Ahi, ahi, ahi, ahi!	Sie war zufrieden und glücklich über ihre Kinder;
Ая	Era preciso, pues, buscar el olvido en el sueño de la vida.	Oblonsky's look seemed to say: 'Why do you tell me that?	Terribile! — si ripeteva Stepan Arkad’ic e non riusciva a trovare una via d’uscita.	ich kam ihr in keiner Weise in die Quere und ließ sie bei den Kindern und beim Hauswesen herumwirtschaften, wie sie wollte.
-	Esteban Arkadievich, sin contestar, miró a Mateo en el espejo.	As if you don't know!'	— E come andava tutto bene prima d’ora!	Freilich, daß »sie« in unserem Hause Gouvernante gewesen ist, das ist übel.
яй!	Sus miradas se cruzaron en el cristal: se notaba que se comprendían.	Matthew put his hands into the pocket of his jacket, put out his foot, and looked at his master with a slight, good-humoured smile.	Come vivevamo bene!	Das ist übel.
Но что же, что же делать?	La mirada de Esteban parecía preguntar: «	'I ordered him to come the Sunday after next, and not to trouble you or himself needlessly till then,' said he, evidently repeating a sentence he had prepared.	Lei era contenta, felice dei bambini;	Es liegt immer etwas Gewöhnliches, Unwürdiges darin, wenn man einer Gouvernante der eigenen Kinder den Hof macht.
Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы.	¿Por qué me lo dices? ¿No sabes a qué vienen?».	Oblonsky understood that Matthew meant to have a joke and draw attention to himself.	io non l’ostacolavo in nulla, la lasciavo libera di regolarsi come voleva, coi bambini, con la casa.	Aber was ist diese Gouvernante auch für ein Weib!‹
Ответ этот: надо жить потребностями дня, то есть забыться.	Mateo metió las manos en los bolsillos, abrió las piernas, miró a su señor sonriendo de un modo casi imperceptible y añadió con sinceridad:	He tore open the telegram and read it, guessing at the words, which (as so often happens in telegrams) were misspelt, and his face brightened.	È vero, non è bello che quella sia stata governante in casa nostra!	(Er erinnerte sich lebhaft an Mademoiselle Rolands schwarze Schelmenaugen und an ihr reizendes Lächeln.
Забыться сном уже нельзя, по крайней мере до ночи, нельзя уже вернуться к той музыке, которую пели графинчики-женщины; стало быть, надо забыться сном жизни,	–	'Matthew, my sister Anna Arkadyevna is coming to-morrow,' he said, motioning away for a moment the shiny plump hand of the barber, which was shaving a rosy path between his long curly whiskers.	Non è bello!	)
Там видно будет, -- сказал себе Степан Аркадьич и, встав, надел серый халат на голубой шелковой подкладке, закинул кисти узлом и, вдоволь забрав воздуха в свой широкий грудной ящик, привычным бодрым шагом вывернутых ног, так легко носивших его полное тело, подошел к окну, поднял стору и громко позвонил.	Les he dicho que pasen el domingo, y que, hasta esa fecha, no molesten al señor ni se molesten.	'The Lord be thanked!' said Matthew, proving by his answer that he knew just as well as his master the importance of this visit: namely, that Anna Arkadyevna, Stephen Arkadyevich's favourite sister, might help to reconcile the husband and wife.	C’è qualcosa di triviale, di volgare nel far la corte alla propria governante.	›Aber solange sie bei uns im Hause war, habe ich mir ja auch nichts erlaubt.
На звонок тотчас же вошел старый друг, камердинер Матвей, неся платье, сапоги и телеграмму.	Era una frase que llevaba evidentemente preparada.	'Is she coming alone, or with Mr. Karenin?'	Ma che governante!	Das Schlimmste ist, daß sie jetzt ...
Вслед за Матвеем вошел и цирюльник с припасами для бритья.	Esteban Arkadievich comprendió que el criado bromeaba y no quería sino que se le prestase atención.	Oblonsky could not answer as the barber was busy with his upper lip; but he raised one finger, and Matthew nodded to him in the glass.	— e ricordò con vivezza il riso e gli occhi neri assassini di m.lle Rolland.	Das muß auch alles wie mit Absicht gleichzeitig über mich hereinstürzen!
'No de majd elválik', - mondotta magában Arkágyevics Sztepán, s miután fölkelt, kék selyem alsójára fölvette szürke hálókabátját, csomóra kötötte a bojtjait, és széles mellkasát jól teleszíván levegővel, kifelé fordított lábainak - melyek oly könnyedén hordozták kissé köpczös testét - szokott fürge lépteivel odament az ablakhoz, fölhúzta a függönyt és erősen csöngetett.	Abrió el telegrama, lo leyó, procurando subsanar las habituales equivocaciones en las palabras, y su rostro se iluminó.	'Alone.	— Del resto finché è stata in casa nostra, io non mi sono permesso nulla.	O weh, o weh!
