ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.	Había puertas alrededor de todo el vestíbulo, pero todas estaban cerradas con llave, y cuando Alicia hubo dado la vuelta, bajando por un lado y subiendo por el otro, probando puerta a puerta, se dirigió tristemente al centro de la habitación, y se preguntó cómo se las arreglaría para salir de allí.	i pipistrelli somigliano ai topi.	Não havia um minuto a perder:	« Eh mais, j’aurai à leur demander le nom du pays.	Dinah ! Miez!
First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; 'for it might end, you know,' said Alice to herself, 'in my going out altogether, like a candle.	De repente se encontró ante una mesita de tres patas, toda de cristal macizo.	Ma i gatti, poi, mangiano i pipistrelli?	Alice seguiu como o vento e foi bem a tempo de ouvi-lo dizer, enquanto virava um canto, — 'Oh, minhas orelhas e bigodes, como está ficando tarde!	— Pardon, Madame, est-ce ici la Nouvelle-Zemble ou l’Australie ?	ich wollte, du wärest hier unten bei mir.
I wonder what I should be like then?'	No había nada sobre ella, salvo una diminuta llave de oro, y lo primero que se le ocurrió a Alicia fue que debía corresponder a una de las puertas del vestíbulo.	— E Alice cominciò a sonnecchiare, e fra sonno e veglia continuò a dire fra i denti:	'	»	Mir ist nur bange, es gibt keine Mäuse in der Luft;
And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.	Pero, ¡ay!, o las cerraduras eran demasiado grandes, o la llave era demasiado pequeña, lo cierto es que no pudo abrir ninguna puerta.	— I gatti, poi, mangiano i pipistrelli?	Ela estava logo atrás dele quando virou o canto, mas já não conseguiu ver o Coelho: ela percebeu que estava em uma sala comprida, baixa, que era iluminada por uma fileira de lâmpadas penduradas no teto.	— En même temps elle essaya de faire la révérence.	aber du könntest einen Spatzen fangen;
After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice!	Sin embargo, al dar la vuelta por segunda vez, descubrió una cortinilla que no había visto antes, y detrás había una puertecita de unos dos palmos de altura.	I gatti, poi, mangiano i pipistrelli?	Havia portas por todos os lados da sala, mas estavam todas trancadas;	(Quelle idée !	die wird es hier in der Luft wohl geben, glaubst du nicht?
when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.	Probó la llave de oro en la cerradura, y vio con alegría que ajustaba bien.	— E a volte:	e quando Alice já havia percorrido um lado e o outro tentando abrir todas as portas, ela andou tristemente para o meio, se perguntando como iria fazer para sair daquele lugar de novo.	Faire la révérence en l’air !	Und Katzen fressen doch Spatzen?«
'Come, there's no use in crying like that!' said Alice to herself, rather sharply; 'I advise you to leave off this minute!'	Alicia abrió la puerta y se encontró con que daba a un estrecho pasadizo, no más ancho que una ratonera.	— I pipistrelli mangiano i gatti?	De repente, encontrou uma pequena mesa de três pernas, toda feita de vidro maciço;	Dites-moi un peu, comment vous y prendriez-vous ?)	Hier wurde Alice etwas schläfrig und redete halb im Traum fort. »
She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.	Se arrodilló y al otro lado del pasadizo vio el jardín más maravilloso que podáis imaginar.	— perchè non potendo rispondere nè all'una nè all'altra domanda, non le importava di dirla in un modo o nell'altro.	não havia nada sobre ela exceto uma pequenina chave dourada e o primeiro pensamento de Alice foi de que ela poderia pertencer a uma das portas da sala;	« Quelle petite ignorante !	Fressen Katzen gern Spatzen?
'But it's no use now,' thought poor Alice, 'to pretend to be two people!	¡Qué ganas tenía de salir de aquella oscura sala y de pasear entre aquellos macizos de flores multicolores y aquellas frescas fuentes!	Sonnecchiava di già e sognava di andare a braccetto con Dina dicendole con faccia grave:	mas, ai!	pensera la dame quand je lui ferai cette question.	Fressen Katzen gern Spatzen?
Why, there's hardly enough of me left to make one respectable person!'	Pero ni siquiera podía pasar la cabeza por la abertura.	“Dina, dimmi la verità, hai mangiato mai un pipistrello?	Ou as fechaduras eram muito grandes, ou a chave muito pequena, mas de qualquer modo não abriria nenhuma delas.	Non, il ne faut pas demander cela ;	Fressen Spatzen gern Katzen?«
Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.	«	” quando, patapunfete! si trovò a un tratto su un mucchio di frasche e la caduta cessò.	Porém, em uma segunda olhada, ela achou uma cortina baixa que não havia notado antes e atrás dela havia uma pequena porta de uns quarenta centímetros de altura: ela experimentou a chavinha dourada na fechadura e, para sua grande alegria, serviu!	peut-être le verrai-je écrit quelque part. »	Und da ihr Niemand zu antworten brauchte, so kam es gar nicht darauf an, wie sie die Frage stellte.
'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'	Y aunque pudiera pasar la cabeza», pensó la pobre Alicia, «de poco iba a servirme sin los hombros.	Non s'era fatta male e saltò in piedi, svelta.	Alice abriu a porta e descobriu que levava a um pequeno corredor, não muito maior do que um buraco de rato: ela se ajoelhou e olhou através da passagem para o mais adorável jardim que você já viu.	Tombe, tombe, tombe !	Sie fühlte, daß sie einschlief und hatte eben angefangen zu träumen, sie gehe Hand in Hand mit Dinah spazieren, und frage sie ganz ernsthaft: »Nun, Dinah, sage die Wahrheit, hast du je einen Spatzen gefressen ?«
She ate a little bit, and said anxiously to herself, 'Which way? Which way?', holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.	¡Cómo me gustaría poderme encoger como un telescopio!	Guardo in alto:	Como ela ansiou por sair daquela sala escura e perambular por entre aqueles canteiros de flores brilhantes e aquelas fontes frescas, mas ela não conseguia nem passar a cabeça pela porta, 'E mesmo se minha cabeça passasse', pensou a pobre Alice, 'seria de pouco uso sem meus ombros.	— Donc Alice, faute d’avoir rien de mieux à faire, se remit à se parler :	da mit einem Male, plump! plump
So she set to work, and very soon finished off the cake.	Creo que podría hacerlo, sólo con saber por dónde empezar.	era buio:	Oh, como eu queria poder encolher como uma luneta!	« Dinah remarquera mon absence ce soir, bien sûr.	! kam sie auf einen Haufen trockenes Laub und Reisig zu liegen, und der Fall war aus.
CHAPTER II The Pool of Tears	» Y es que, como veis, a Alicia le habían pasado tantas cosas extraordinarias aquel día, que había empezado a pensar que casi nada era en realidad imposible.	ma davanti vide un lungo corridoio, nel quale camminava il Coniglio bianco frettolosamente.	Eu acho que poderia se ao menos souber como começar.	» (Dinah c’était son chat.	Alice hatte sich gar nicht weh getan.
'Curiouser and curiouser!' cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); 'now I'm opening out like the largest telescope that ever was!	De nada servía quedarse esperando junto a la puertecita, así que volvió a la mesa, casi con la esperanza de encontrar sobre ella otra llave, o, en todo caso, un libro de instrucciones para encoger a la gente como si fueran telescopios.	Non c'era tempo da perdere:	' Pois, veja, tantas coisas fora do rumo tinham acontecido ultimamente, que Alice começou a pensar que poucas coisas eram realmente impossíveis.	)	Sie sprang sogleich auf und sah in die Höhe;
Good-bye, feet!' (for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).	Esta vez encontró en la mesa una botellita («que desde luego no estaba aquí antes», dijo Alicia)	Alice, come se avesse le ali, gli corse dietro, e lo sentì esclamare, svoltando al gomito:	Pareceu ser inútil ficar esperando junto à portinha, então ela voltou para a mesa, na esperança de que poderia encontrar outra chave sobre ela ou, em todo caso, um livro de regras para encolher pessoas como lunetas: dessa vez ela encontrou uma pequena garrafa em cima dela, (''Que certamente não estava aqui antes', disse Alice), e em volta do gargalo da garrafa havia uma etiqueta de papel, com as palavras 'BEBA-ME', impressas com beleza em letras grandes.	« Pourvu qu’on n’oublie pas de lui donner sa jatte de lait à l’heure du thé.	aber es war dunkel über ihr.
'Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?	, y alrededor del cuello de la botella había una etiqueta de papel con la palabra «BEBEME» hermosamente impresa en grandes caracteres.	— Perdinci!	Parecia tudo bem em dizer 'Beba-me', mas a sábia pequena	Dinah, ma minette	Vor ihr lag ein zweiter langer Gang, und sie konnte noch eben das weiße Kaninchen darin entlang laufen sehen.
I'm sure I shan't be able!	Está muy bien eso de decir «BEBEME», pero la pequeña Alicia era muy prudente y no iba a beber aquello por las buenas. «No, primero voy a mirar», se dijo, «para ver si lleva o no la indicación de veneno.	veramente ho fatto tardi!	Alice não iria fazer isto com pressa.	, que n’es-tu ici avec moi ?	Es war kein Augenblick zu verlieren: fort rannte Alice wie der Wind, und hörte es gerade noch sagen, als es um eine Ecke bog: »O, Ohren und Schnurrbart, wie spät es ist!«
I shall be a great deal too far off to trouble myself about you: you must manage the best way you can; --but I must be kind to them,' thought Alice, 'or perhaps they won't walk the way I want to go!	»	— Stava per raggiungerlo, ma al gomito del corridoio non vide più il coniglio;	— 'Não, vou olhar primeiro', ela falou, 'e ver se está marcado em algum lugar 'veneno' ou não';	Il n’y a pas de souris dans les airs, j’en ai bien peur ;	Sie war dicht hinter ihm, aber als sie um die Ecke bog, da war das Kaninchen nicht mehr zu sehen.
